日付,時間,年,月,日,時,分,秒,オーダーNo,ロット,生産数,不良数,不良[1],不良[2],不良[3],不良[4],不良[5],不良[6]
2023/05/28,00:48:43,2023,5,28,0,48,42,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:48:53,2023,5,28,0,48,52,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:49:03,2023,5,28,0,49,2,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:49:13,2023,5,28,0,49,12,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:49:23,2023,5,28,0,49,22,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:49:33,2023,5,28,0,49,32,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:49:43,2023,5,28,0,49,42,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:49:53,2023,5,28,0,49,52,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:50:03,2023,5,28,0,50,2,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:50:13,2023,5,28,0,50,12,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:50:23,2023,5,28,0,50,22,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:50:33,2023,5,28,0,50,32,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:50:43,2023,5,28,0,50,42,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:50:53,2023,5,28,0,50,52,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:51:03,2023,5,28,0,51,2,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:51:13,2023,5,28,0,51,12,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:51:23,2023,5,28,0,51,22,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:51:33,2023,5,28,0,51,32,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:51:43,2023,5,28,0,51,42,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:51:53,2023,5,28,0,51,52,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:52:03,2023,5,28,0,52,2,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:52:13,2023,5,28,0,52,12,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:52:23,2023,5,28,0,52,22,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:52:33,2023,5,28,0,52,32,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:52:43,2023,5,28,0,52,42,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:52:53,2023,5,28,0,52,52,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:53:03,2023,5,28,0,53,2,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:53:13,2023,5,28,0,53,12,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:53:23,2023,5,28,0,53,22,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:53:33,2023,5,28,0,53,32,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:53:43,2023,5,28,0,53,42,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:53:53,2023,5,28,0,53,52,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:54:03,2023,5,28,0,54,2,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:54:13,2023,5,28,0,54,12,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:54:23,2023,5,28,0,54,22,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:54:33,2023,5,28,0,54,32,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:54:43,2023,5,28,0,54,42,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:54:53,2023,5,28,0,54,52,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:55:03,2023,5,28,0,55,2,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:55:13,2023,5,28,0,55,12,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:55:23,2023,5,28,0,55,22,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:55:33,2023,5,28,0,55,32,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:55:43,2023,5,28,0,55,42,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:56:04,2023,5,28,0,55,52,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:56:08,2023,5,28,0,56,2,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:56:14,2023,5,28,0,56,12,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:56:24,2023,5,28,0,56,22,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:56:34,2023,5,28,0,56,32,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:59:18,2023,5,28,0,56,42,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:59:22,2023,5,28,0,56,52,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:59:26,2023,5,28,0,57,2,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:59:30,2023,5,28,0,57,12,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:59:34,2023,5,28,0,57,22,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:59:38,2023,5,28,0,57,32,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:59:42,2023,5,28,0,57,42,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:59:46,2023,5,28,0,57,52,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:59:50,2023,5,28,0,58,2,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:59:54,2023,5,28,0,58,12,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,00:59:58,2023,5,28,0,58,22,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:00:02,2023,5,28,0,58,32,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:00:06,2023,5,28,0,58,42,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:00:10,2023,5,28,0,58,52,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:00:14,2023,5,28,0,59,2,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:00:18,2023,5,28,0,59,12,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:00:22,2023,5,28,0,59,22,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:00:45,2023,5,28,0,59,32,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:00:49,2023,5,28,0,59,42,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:00:51,2023,5,28,0,59,52,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:00:53,2023,5,28,1,0,2,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:01:01,2023,5,28,1,0,12,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:01:05,2023,5,28,1,0,22,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:01:09,2023,5,28,1,0,39,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:01:11,2023,5,28,1,0,49,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:01:13,2023,5,28,1,0,59,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:01:21,2023,5,28,1,1,9,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:01:25,2023,5,28,1,1,19,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:03:35,2023,5,28,1,3,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:03:45,2023,5,28,1,3,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:03:55,2023,5,28,1,3,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:04:05,2023,5,28,1,4,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:04:15,2023,5,28,1,4,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:04:25,2023,5,28,1,4,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:04:35,2023,5,28,1,4,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:04:45,2023,5,28,1,4,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:04:55,2023,5,28,1,4,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:05:05,2023,5,28,1,5,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:05:15,2023,5,28,1,5,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:05:25,2023,5,28,1,5,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:05:35,2023,5,28,1,5,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:05:45,2023,5,28,1,5,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:05:55,2023,5,28,1,5,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:06:05,2023,5,28,1,6,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:06:15,2023,5,28,1,6,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:06:25,2023,5,28,1,6,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:06:35,2023,5,28,1,6,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:06:45,2023,5,28,1,6,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:06:55,2023,5,28,1,6,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:07:05,2023,5,28,1,7,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:07:15,2023,5,28,1,7,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:07:25,2023,5,28,1,7,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:07:35,2023,5,28,1,7,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:07:45,2023,5,28,1,7,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:07:55,2023,5,28,1,7,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:08:05,2023,5,28,1,8,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:08:15,2023,5,28,1,8,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:08:25,2023,5,28,1,8,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:08:35,2023,5,28,1,8,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:08:45,2023,5,28,1,8,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:08:55,2023,5,28,1,8,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:09:05,2023,5,28,1,9,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:09:15,2023,5,28,1,9,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:09:25,2023,5,28,1,9,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:09:35,2023,5,28,1,9,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:09:45,2023,5,28,1,9,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:09:55,2023,5,28,1,9,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:10:05,2023,5,28,1,10,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:10:15,2023,5,28,1,10,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:10:25,2023,5,28,1,10,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:10:35,2023,5,28,1,10,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:10:45,2023,5,28,1,10,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:10:55,2023,5,28,1,10,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:11:05,2023,5,28,1,11,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:11:15,2023,5,28,1,11,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:11:25,2023,5,28,1,11,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:11:35,2023,5,28,1,11,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:11:45,2023,5,28,1,11,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:11:55,2023,5,28,1,11,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:12:05,2023,5,28,1,12,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:12:15,2023,5,28,1,12,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:12:25,2023,5,28,1,12,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:12:35,2023,5,28,1,12,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:12:45,2023,5,28,1,12,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:12:55,2023,5,28,1,12,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:13:05,2023,5,28,1,13,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:13:15,2023,5,28,1,13,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:13:25,2023,5,28,1,13,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:13:35,2023,5,28,1,13,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:13:45,2023,5,28,1,13,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:13:55,2023,5,28,1,13,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:14:05,2023,5,28,1,14,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:14:15,2023,5,28,1,14,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:14:25,2023,5,28,1,14,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:14:35,2023,5,28,1,14,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:14:45,2023,5,28,1,14,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:14:55,2023,5,28,1,14,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:15:05,2023,5,28,1,15,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:15:15,2023,5,28,1,15,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:15:25,2023,5,28,1,15,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:15:35,2023,5,28,1,15,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:15:45,2023,5,28,1,15,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:15:55,2023,5,28,1,15,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:16:05,2023,5,28,1,16,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:16:15,2023,5,28,1,16,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:16:25,2023,5,28,1,16,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:16:35,2023,5,28,1,16,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:16:45,2023,5,28,1,16,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:16:55,2023,5,28,1,16,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:17:05,2023,5,28,1,17,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:17:15,2023,5,28,1,17,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:17:25,2023,5,28,1,17,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:17:35,2023,5,28,1,17,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:17:45,2023,5,28,1,17,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:17:55,2023,5,28,1,17,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:18:05,2023,5,28,1,18,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:18:15,2023,5,28,1,18,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:18:25,2023,5,28,1,18,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:18:35,2023,5,28,1,18,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:18:45,2023,5,28,1,18,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:18:55,2023,5,28,1,18,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:19:05,2023,5,28,1,19,3,650,0,3950,0,0,0,0,1025638400,15650,0
