年,月,日,時,分,秒,オーダー,ロット,生産数,不良数,ランスショート,ヒケショート,糸引き,薄壁ショート,PC保存日付,PC保存時間
2023,5,28,12,59,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,12:59:27
2023,5,28,12,59,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,12:59:35
2023,5,28,12,59,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,12:59:45
2023,5,28,12,59,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,12:59:55
2023,5,28,13,0,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:00:05
2023,5,28,13,0,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:00:15
2023,5,28,13,0,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:00:25
2023,5,28,13,0,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:00:35
2023,5,28,13,0,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:00:45
2023,5,28,13,0,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:00:55
2023,5,28,13,1,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:01:05
2023,5,28,13,1,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:01:15
2023,5,28,13,1,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:01:25
2023,5,28,13,1,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:01:35
2023,5,28,13,1,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:01:45
2023,5,28,13,1,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:01:55
2023,5,28,13,2,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:02:05
2023,5,28,13,2,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:02:15
2023,5,28,13,2,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:02:25
2023,5,28,13,2,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:02:35
2023,5,28,13,2,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:02:45
2023,5,28,13,2,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:02:55
2023,5,28,13,3,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:03:05
2023,5,28,13,3,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:03:15
2023,5,28,13,3,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:03:25
2023,5,28,13,3,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:03:35
2023,5,28,13,3,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:03:45
2023,5,28,13,3,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:03:55
2023,5,28,13,4,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:04:05
2023,5,28,13,4,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:04:15
2023,5,28,13,4,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:04:25
2023,5,28,13,4,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:04:35
2023,5,28,13,4,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:04:45
2023,5,28,13,4,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:04:55
2023,5,28,13,5,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:05:05
2023,5,28,13,5,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:05:15
2023,5,28,13,5,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:05:25
2023,5,28,13,5,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:05:35
2023,5,28,13,5,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:05:45
2023,5,28,13,5,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:05:55
2023,5,28,13,6,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:06:05
2023,5,28,13,6,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:06:15
2023,5,28,13,6,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:06:25
2023,5,28,13,6,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:06:35
2023,5,28,13,6,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:06:45
2023,5,28,13,6,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:06:55
2023,5,28,13,7,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:07:05
2023,5,28,13,7,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:07:15
2023,5,28,13,7,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:07:25
2023,5,28,13,7,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:07:35
2023,5,28,13,7,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:07:45
2023,5,28,13,7,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:07:55
2023,5,28,13,8,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:08:05
2023,5,28,13,8,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:08:15
2023,5,28,13,8,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:08:25
2023,5,28,13,8,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:08:35
2023,5,28,13,8,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:08:45
2023,5,28,13,8,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:08:55
2023,5,28,13,9,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:09:05
2023,5,28,13,9,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:09:15
2023,5,28,13,9,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:09:25
2023,5,28,13,9,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:09:35
2023,5,28,13,9,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:09:45
2023,5,28,13,9,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:09:55
2023,5,28,13,10,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:10:05
2023,5,28,13,10,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:10:15
2023,5,28,13,10,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:10:25
2023,5,28,13,10,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:10:35
2023,5,28,13,10,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:10:45
2023,5,28,13,10,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:10:55
2023,5,28,13,11,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:11:05
2023,5,28,13,11,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:11:15
2023,5,28,13,11,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:11:25
2023,5,28,13,11,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:11:35
2023,5,28,13,11,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:11:45
2023,5,28,13,11,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:11:55
2023,5,28,13,12,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:12:05
2023,5,28,13,12,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:12:15
2023,5,28,13,12,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:12:25
2023,5,28,13,12,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:12:35
2023,5,28,13,12,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:12:45
2023,5,28,13,12,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:12:55
2023,5,28,13,13,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:13:05
2023,5,28,13,13,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:13:15
2023,5,28,13,13,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:13:25
2023,5,28,13,13,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:13:35
2023,5,28,13,13,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:13:45
2023,5,28,13,13,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:13:55
2023,5,28,13,14,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:14:05
2023,5,28,13,14,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:14:15
2023,5,28,13,14,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:14:25
2023,5,28,13,14,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:14:35
2023,5,28,13,14,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:14:45
2023,5,28,13,14,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:14:55
2023,5,28,13,15,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:15:05
2023,5,28,13,15,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:15:15
2023,5,28,13,15,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:15:25
2023,5,28,13,15,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:15:35
2023,5,28,13,15,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:15:45
2023,5,28,13,15,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:15:55
2023,5,28,13,16,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:16:05
2023,5,28,13,16,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:16:15
2023,5,28,13,16,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:16:25
2023,5,28,13,16,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:16:35
2023,5,28,13,16,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:16:45
2023,5,28,13,16,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:16:55
2023,5,28,13,17,4,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:17:05
2023,5,28,13,17,14,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:17:15
2023,5,28,13,17,24,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:17:25
2023,5,28,13,17,34,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:17:35
2023,5,28,13,17,44,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:17:45
2023,5,28,13,17,54,111111111,444444444,333333333,1,2,3,4,5,2023/05/28,13:17:55
